Time,Time Code,Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted savings: gross savings (% of GNI) [NY.ADJ.ICTR.GN.ZS]
2013,YR2013,Afghanistan,AFG,18346129155.1037,-21.06835647
2013,YR2013,Albania,ALB,10919250897.5472,17.52441344
2013,YR2013,Algeria,DZA,154786374733.479,46.15471094
2013,YR2013,American Samoa,ASM,..,..
2013,YR2013,Andorra,ADO,..,..
2013,YR2013,Angola,AGO,68945271384.1174,20.4215737
2013,YR2013,Antigua and Barbuda,ATG,..,9.173505684
2013,YR2013,Argentina,ARG,529935664634.801,16.93132634
2013,YR2013,Armenia,ARM,9511357326.04618,13.03997592
2013,YR2013,Aruba,ABW,..,..
2013,YR2013,Australia,AUS,1213318488776.66,25.2353664
2013,YR2013,Austria,AUT,350657421373.373,25.57811871
2013,YR2013,Azerbaijan,AZE,48080882022.18,43.30486929
2013,YR2013,"Bahamas, The",BHS,7566378219.56104,11.99338492
2013,YR2013,Bahrain,BHR,19735717192.7611,..
2013,YR2013,Bangladesh,BGD,146320520626.716,35.94737013
2013,YR2013,Barbados,BRB,..,..
2013,YR2013,Belarus,BLR,62258797457.1365,29.97468682
2013,YR2013,Belgium,BEL,415626995216.527,21.06782268
2013,YR2013,Belize,BLZ,1166917541.02041,10.69246737
2013,YR2013,Benin,BEN,6766490481.07071,..
2013,YR2013,Bermuda,BMU,..,42.59517263
2013,YR2013,Bhutan,BTN,1327886748.07235,27.32241866
2013,YR2013,Bolivia,BOL,22080800208.3897,25.4859736
2013,YR2013,Bosnia and Herzegovina,BIH,..,12.10265409
2013,YR2013,Botswana,BWA,12005875321.3099,43.86392132
2013,YR2013,Brazil,BRA,1985103402213.65,17.24459071
2013,YR2013,Brunei Darussalam,BRN,..,..
2013,YR2013,Bulgaria,BGR,43537886732.105,23.33316913
2013,YR2013,Burkina Faso,BFA,8375898112.00012,..
2013,YR2013,Burundi,BDI,1620371663.68764,17.78468301
2013,YR2013,Cabo Verde,CPV,1527231603.9771,..
2013,YR2013,Cambodia,KHM,12544762099.4055,8.952175105
2013,YR2013,Cameroon,CMR,23971797920.7858,10.405495
2013,YR2013,Canada,CAN,1452515419568.81,21.6239533
2013,YR2013,Cayman Islands,CYM,..,..
2013,YR2013,Central African Republic,CAF,1420798249.7972,..
2013,YR2013,Chad,TCD,9918692239.41841,..
2013,YR2013,Channel Islands,CHI,..,..
2013,YR2013,Chile,CHL,209273681024.569,21.45287295
2013,YR2013,China,CHN,7424846054305.37,50.09543634
2013,YR2013,Colombia,COL,291589686829.676,19.77320064
2013,YR2013,Comoros,COM,491214619.017622,..
2013,YR2013,"Congo, Dem. Rep.",ZAR,15929032581.0091,9.255878851
2013,YR2013,"Congo, Rep.",COG,2271702773.9125,..
2013,YR2013,Costa Rica,CRI,44644096554.0297,15.09409953
2013,YR2013,Cote d'Ivoire,CIV,28230055304.0916,..
2013,YR2013,Croatia,HRV,46193202294.4018,20.13168292
2013,YR2013,Cuba,CUB,..,..
2013,YR2013,Curacao,CUW,..,..
2013,YR2013,Cyprus,CYP,20459946026.1887,10.93235827
2013,YR2013,Czech Republic,CZE,147505332888.679,25.42320573
2013,YR2013,Denmark,DNK,282981733721.868,25.15579405
2013,YR2013,Djibouti,DJI,..,..
2013,YR2013,Dominica,DMA,476719572.722981,-0.891627676
2013,YR2013,Dominican Republic,DOM,55111636729.8515,19.14675789
2013,YR2013,Ecuador,ECU,72830913458.2609,27.66179222
2013,YR2013,"Egypt, Arab Rep.",EGY,227866105054.627,..
2013,YR2013,El Salvador,SLV,21706004776.4257,9.444763882
2013,YR2013,Equatorial Guinea,GNQ,3016849584.18277,..
2013,YR2013,Eritrea,ERI,2524661316.39668,..
2013,YR2013,Estonia,EST,20323761163.7367,27.36326872
2013,YR2013,Ethiopia,ETH,37026656217.8241,..
2013,YR2013,Faeroe Islands,FRO,..,..
2013,YR2013,Fiji,FJI,3343951564.63129,..
2013,YR2013,Finland,FIN,216877473684.823,19.7224452
2013,YR2013,France,FRA,2346142384356.18,19.59081912
2013,YR2013,French Polynesia,PYF,..,..
2013,YR2013,Gabon,GAB,7890886405.60089,..
2013,YR2013,"Gambia, The",GMB,653402385.504268,..
2013,YR2013,Georgia,GEO,14043203181.5024,19.38547883
2013,YR2013,Germany,DEU,3157243804531.3,25.18338635
2013,YR2013,Ghana,GHA,38612478564.7389,12.43216099
2013,YR2013,Greece,GRC,196203512905.832,11.22353605
2013,YR2013,Greenland,GRL,..,..
2013,YR2013,Grenada,GRD,..,-5.691257123
2013,YR2013,Guam,GUM,..,..
2013,YR2013,Guatemala,GTM,47355777886.7077,11.92155106
2013,YR2013,Guinea,GIN,3999338446.47989,-18.39446296
2013,YR2013,Guinea-Bissau,GNB,725320417.409449,..
2013,YR2013,Guyana,GUY,2693913084.12977,..
2013,YR2013,Haiti,HTI,8029585014.1333,12.395868
2013,YR2013,Honduras,HND,15715695664.4575,12.99856495
2013,YR2013,"Hong Kong SAR, China",HKG,..,25.05136483
2013,YR2013,Hungary,HUN,105293914189.4,24.6003289
2013,YR2013,Iceland,ISL,12627694985.7302,21.40534278
2013,YR2013,India,IND,1598463207382.52,32.20802295
2013,YR2013,Indonesia,IDN,805383271429.392,31.66140761
2013,YR2013,"Iran, Islamic Rep.",IRN,381650461224.106,..
2013,YR2013,Iraq,IRQ,156835487316.665,..
2013,YR2013,Ireland,IRL,171784532625.772,24.38730688
2013,YR2013,Isle of Man,IMY,..,..
2013,YR2013,Israel,ISR,245854098037.494,22.40132458
2013,YR2013,Italy,ITA,1736386238184.71,18.56197262
2013,YR2013,Jamaica,JAM,12491462267.0102,9.693561082
2013,YR2013,Japan,JPN,4028378927946.2,20.98614085
2013,YR2013,Jordan,JOR,30116254590.083,17.59439968
2013,YR2013,Kazakhstan,KAZ,144440613376.597,26.81530874
2013,YR2013,Kenya,KEN,49480234295.2851,..
2013,YR2013,Kiribati,KIR,266702654.229312,..
2013,YR2013,"Korea, Dem. Rep.",PRK,..,..
2013,YR2013,"Korea, Rep.",KOR,1059410594319.32,34.23052854
2013,YR2013,Kosovo,KSV,..,20.85145136
2013,YR2013,Kuwait,KWT,130624473232.094,52.688884
2013,YR2013,Kyrgyz Republic,KGZ,5701227703.20685,11.37449528
2013,YR2013,Lao PDR,LAO,8247437418.28773,17.68245441
2013,YR2013,Latvia,LVA,26118713359.9424,23.12608263
2013,YR2013,Lebanon,LBN,37096188465.0269,20.61533476
2013,YR2013,Lesotho,LSO,2519063316.89607,32.48354333
2013,YR2013,Liberia,LBR,878707160.501682,6.119353677
2013,YR2013,Libya,LBY,45261777969.1506,..
2013,YR2013,Liechtenstein,LIE,..,..
2013,YR2013,Lithuania,LTU,38834743154.1637,21.9645585
2013,YR2013,Luxembourg,LUX,30840086874.1639,22.63515452
2013,YR2013,"Macao SAR, China",MAC,..,63.10181046
2013,YR2013,"Macedonia, FYR",MKD,8606739537.15876,27.38164802
2013,YR2013,Madagascar,MDG,8072707390.5102,..
2013,YR2013,Malawi,MWI,2633918039.37973,..
2013,YR2013,Malaysia,MYS,246202648774.308,31.4572205
2013,YR2013,Maldives,MDV,1980491887.2677,..
2013,YR2013,Mali,MLI,8885330888.56962,..
2013,YR2013,Malta,MLT,..,..
2013,YR2013,Marshall Islands,MHL,..,..
2013,YR2013,Mauritania,MRT,2641228407.43378,24.86641707
2013,YR2013,Mauritius,MUS,10309567497.8708,12.66027652
2013,YR2013,Mexico,MEX,992843934424.948,20.15773428
2013,YR2013,"Micronesia, Fed. Sts.",FSM,318923514.396722,..
2013,YR2013,Moldova,MDA,8110846641.34047,17.70417775
2013,YR2013,Monaco,MCO,..,..
2013,YR2013,Mongolia,MNG,9562717019.72356,29.30355636
2013,YR2013,Montenegro,MNE,..,4.456957611
2013,YR2013,Morocco,MAR,82979818573.4789,27.3487075
2013,YR2013,Mozambique,MOZ,13530601840.3681,16.40664541
2013,YR2013,Myanmar,MMR,..,..
2013,YR2013,Namibia,NAM,11483720992.2972,17.50080244
2013,YR2013,Nepal,NPL,17627432260.8911,42.86544724
2013,YR2013,Netherlands,NLD,704231861038.021,26.59443976
2013,YR2013,New Caledonia,NCL,..,..
2013,YR2013,New Zealand,NZL,153655844768.162,20.99939426
2013,YR2013,Nicaragua,NIC,9571771736.50653,17.87551432
2013,YR2013,Niger,NER,6033080932.16111,..
2013,YR2013,Nigeria,NGA,428408462098.066,..
2013,YR2013,Northern Mariana Islands,MNP,..,..
2013,YR2013,Norway,NOR,409358967573.274,38.07291969
2013,YR2013,Oman,OMN,33239318090.4315,..
2013,YR2013,Pakistan,PAK,224837107218.746,20.00045425
2013,YR2013,Palau,PLW,..,..
2013,YR2013,Panama,PAN,39975523528.8679,..
2013,YR2013,Papua New Guinea,PNG,10695495844.1194,..
2013,YR2013,Paraguay,PRY,23419001577.5149,17.7257039
2013,YR2013,Peru,PER,162021392665.991,25.11300614
2013,YR2013,Philippines,PHL,291473429254.753,36.05655002
2013,YR2013,Poland,POL,444484600935.677,19.12439269
2013,YR2013,Portugal,PRT,181440754470.732,16.87883883
2013,YR2013,Puerto Rico,PRI,..,..
2013,YR2013,Qatar,QAT,122007937547.783,..
2013,YR2013,Romania,ROM,177365148376.476,22.52268369
2013,YR2013,Russian Federation,RUS,1670166723471.68,25.3990283
2013,YR2013,Rwanda,RWA,6073970007.52666,21.17493328
2013,YR2013,Samoa,WSM,670029345.696211,..
2013,YR2013,San Marino,SMR,..,..
2013,YR2013,Sao Tome and Principe,STP,264141635.504565,18.15822002
2013,YR2013,Saudi Arabia,SAU,542963642267.998,43.4330985
2013,YR2013,Senegal,SEN,12617686443.4012,..
2013,YR2013,Serbia,SRB,..,12.52859532
2013,YR2013,Seychelles,SYC,1167669250.24921,..
2013,YR2013,Sierra Leone,SLE,3854615291.12211,8.241830022
2013,YR2013,Singapore,SGP,..,48.37356772
2013,YR2013,Sint Maarten (Dutch part),SXM,..,..
2013,YR2013,Slovak Republic,SVK,74868357106.8364,22.23156615
2013,YR2013,Slovenia,SVN,37607709869.9785,25.04417368
2013,YR2013,Solomon Islands,SLB,664559647.611985,..
2013,YR2013,Somalia,SOM,..,..
2013,YR2013,South Africa,ZAF,295473757071.358,14.73716878
2013,YR2013,South Sudan,SSD,..,..
2013,YR2013,Spain,ESP,1141016088127.71,21.26486739
2013,YR2013,Sri Lanka,LKA,61619713641.0517,26.52349676
2013,YR2013,St. Kitts and Nevis,KNA,..,21.59061486
2013,YR2013,St. Lucia,LCA,1251312571.88875,10.90356014
2013,YR2013,St. Martin (French part),MAF,..,..
2013,YR2013,St. Vincent and the Grenadines,VCT,680204916.191483,-4.588046742
2013,YR2013,Sudan,SDN,59734631908.5678,13.5904666
2013,YR2013,Suriname,SUR,3572211077.72707,..
2013,YR2013,Swaziland,SWZ,2636409807.66856,19.02814178
2013,YR2013,Sweden,SWE,502445506016.472,28.13271226
2013,YR2013,Switzerland,CHE,575195875056.838,35.86942328
2013,YR2013,Syrian Arab Republic,SYR,..,..
2013,YR2013,Tajikistan,TJK,7995602013.20911,..
2013,YR2013,Tanzania,TZA,38619913974.3972,15.78175928
2013,YR2013,Thailand,THA,283717993335.825,30.57251918
2013,YR2013,Timor-Leste,TMP,..,..
2013,YR2013,Togo,TGO,3134249154.05721,..
2013,YR2013,Tonga,TON,407253321.266752,..
2013,YR2013,Trinidad and Tobago,TTO,11858988520.9551,..
2013,YR2013,Tunisia,TUN,35329931654.4629,13.61876125
2013,YR2013,Turkey,TUR,767795801394.717,13.3031792
2013,YR2013,Turkmenistan,TKM,..,..
2013,YR2013,Turks and Caicos Islands,TCA,..,..
2013,YR2013,Tuvalu,TUV,..,..
2013,YR2013,Uganda,UGA,19364137434.3466,22.09702004
2013,YR2013,Ukraine,UKR,143958014357.326,7.35419544
2013,YR2013,United Arab Emirates,ARE,310338508888.812,..
2013,YR2013,United Kingdom,GBR,2275060464001.87,12.66874247
2013,YR2013,United States,USA,14424167903967.6,17.72145336
2013,YR2013,Uruguay,URY,49926787420.2398,17.5898115
2013,YR2013,Uzbekistan,UZB,50041536669.54,..
2013,YR2013,Vanuatu,VUT,698185460.795193,21.50054466
2013,YR2013,"Venezuela, RB",VEN,294129081395.358,..
2013,YR2013,Vietnam,VNM,131218092488.135,31.48707505
2013,YR2013,Virgin Islands (U.S.),VIR,..,..
2013,YR2013,West Bank and Gaza,WBG,..,10.40978581
2013,YR2013,"Yemen, Rep.",YEM,29484209770.3605,..
2013,YR2013,Zambia,ZMB,18980523831.8128,..
2013,YR2013,Zimbabwe,ZWE,11834533344.9219,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 02/17/2016,,,,,
