Time,Time Code,Country Name,Country Code,Population ages 0-14 (% of total) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],Population growth (annual %) [SP.POP.GROW],Population total [SP.POP.TOTL],Unemployment total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS],Unemployment male (% of male labor force) (modeled ILO estimate) [SL.UEM.TOTL.MA.ZS],Unemployment female (% of female labor force) (modeled ILO estimate) [SL.UEM.TOTL.FE.ZS],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2013,YR2013,Afghanistan,AFG,45.6852570683615,51.9203291778701,2.39441375376844,3.16433627387256,30682500,8,7.09999990463257,12.1999998092651,25.871
2013,YR2013,Albania,ALB,19.3822939907695,68.8480241780111,11.7696818312194,-0.10772950693099,2897366,16,17.6000003814697,13.8000001907349,55.383
2013,YR2013,Algeria,DZA,27.8895861023903,66.4007551431953,5.7096587544144,1.97481446070098,38186135,9.80000019073486,8.39999961853027,16.7999992370605,69.51
2013,YR2013,American Samoa,ASM,..,..,..,0.135711010704751,55302,..,..,..,87.334
2013,YR2013,Andorra,ADO,..,..,..,-4.39968392210089,75902,..,..,..,86.165
2013,YR2013,Angola,AGO,48.0125768278523,49.6733395592549,2.31408361289279,3.30620456316035,23448202,6.80000019073486,6.5,7.19999980926514,42.49
2013,YR2013,Antigua and Barbuda,ATG,24.9508251375229,67.9246541090182,7.12452075345891,1.02316395171461,89985,..,..,..,24.643
2013,YR2013,Argentina,ARG,25.4657425928406,63.8344255567876,10.6998318503718,1.04706505456002,42538304,7.5,6.5,9,91.452
2013,YR2013,Armenia,ARM,19.013084721836,70.5461414240798,10.4407738540842,0.464046660476912,2992192,16.2000007629395,15.1999998092651,17.5,62.975
2013,YR2013,Aruba,ABW,19.3944870337443,69.2735204671544,11.3319924991012,0.514335275703456,102921,..,..,..,42.058
2013,YR2013,Australia,AUS,18.7832946183069,66.8385483487331,14.37815703296,1.73429976973791,23125868,5.69999980926514,5.69999980926514,5.59999990463257,89.153
2013,YR2013,Austria,AUT,14.3555844835879,67.2202726959305,18.4241428204816,0.584103985990017,8479375,4.90000009536743,4.90000009536743,4.90000009536743,65.884
2013,YR2013,Azerbaijan,AZE,22.079935595656,72.280893827173,5.63917057717108,1.29344702700591,9416801,5.5,4.40000009536743,6.59999990463257,54.1
2013,YR2013,"Bahamas, The",BHS,21.3920670334876,70.9205724100878,7.68736055642453,1.4537150739224,377841,13.6000003814697,13.1999998092651,14,82.732
2013,YR2013,Bahrain,BHR,20.8511464495671,76.8519527177091,2.29690083272382,1.18152521488202,1349427,7.40000009536743,4.90000009536743,17.7000007629395,88.667
2013,YR2013,Bangladesh,BGD,30.4978701797511,64.5882114843416,4.91391833590726,1.21635117232582,157157394,4.30000019073486,3.90000009536743,5,32.753
2013,YR2013,Barbados,BRB,19.5056335684931,67.1168093790154,13.3775570524915,0.327257096475469,282503,12.1999998092651,10.1999998092651,14.5,31.652
2013,YR2013,Belarus,BLR,15.4368496963451,70.561004008089,14.0021462955659,0.0211304807970502,9466000,5.80000019073486,7.30000019073486,4.30000019073486,75.877
2013,YR2013,Belgium,BEL,16.852196183275,65.3976796810794,17.7501241356456,0.489184301296706,11182817,8.39999961853027,8.60000038146973,8.10000038146973,97.776
2013,YR2013,Belize,BLZ,33.7220687230711,62.5189937041137,3.75893757281525,2.19894305855656,344193,14.6000003814697,10.8000001907349,21,44.298
2013,YR2013,Benin,BEN,42.7550456141656,54.3541551865914,2.89079919924296,2.6748077964742,10322232,1,1.10000002384186,1,43.086
2013,YR2013,Bermuda,BMU,..,..,..,0.313281274113408,65001,..,..,..,100
2013,YR2013,Bhutan,BTN,28.0957599481605,67.0674774759255,4.83676257591398,1.45843204180211,754637,2.09999990463257,1.89999997615814,2.5,37.139
2013,YR2013,Bolivia,BOL,33.3533655175212,60.4142277482418,6.232406734237,1.56184576448768,10399931,2.59999990463257,2.09999990463257,3.20000004768372,67.696
2013,YR2013,Bosnia and Herzegovina,BIH,13.9480161410925,71.5518605436386,14.5001233152689,-0.127705993556694,3823533,28.3999996185303,26.7999992370605,30.8999996185303,39.486
2013,YR2013,Botswana,BWA,32.3880432435413,64.1159930347207,3.49596372173803,2.02766910642899,2176510,18.3999996185303,15.6000003814697,21.6000003814697,56.938
2013,YR2013,Brazil,BRA,23.9795776915544,68.691447149572,7.32897515887361,0.913687864138812,204259377,5.90000009536743,4.5,7.80000019073486,85.171
2013,YR2013,Brunei Darussalam,BRN,23.9128163130409,72.1287293529267,3.95845433403241,1.46561237679693,411499,3.79999995231628,3.59999990463257,4.09999990463257,76.561
2013,YR2013,Bulgaria,BGR,13.8662473928096,66.7650873714709,19.3686652357195,-0.559647217410859,7265115,12.8999996185303,13.8000001907349,11.8999996185303,73.3
2013,YR2013,Burkina Faso,BFA,45.9912561955085,51.5812294543949,2.42751435009659,2.93256720296721,17084554,3.09999990463257,3.90000009536743,2.20000004768372,28.186
2013,YR2013,Burundi,BDI,44.4829470476619,53.0322639330041,2.48478901933401,3.31626500011767,10465959,6.90000009536743,6.40000009536743,7.40000009536743,11.472
2013,YR2013,Cabo Verde,CPV,30.3845380457282,64.6925233313225,4.92293862294927,1.2673163521566,507258,7,6.69999980926514,7.30000019073486,64.127
2013,YR2013,Cambodia,KHM,32.1023739395873,63.9668207131661,3.93080534724659,1.64699313490434,15078564,0.300000011920929,0.300000011920929,0.300000011920929,20.319
2013,YR2013,Cameroon,CMR,42.9619408544333,53.8083412640291,3.2297178815376,2.51515321517122,22211166,4,3.70000004768372,4.40000009536743,53.25
2013,YR2013,Canada,CAN,16.1408947423337,68.6122880862813,15.2468171713849,1.1557184377351,35158304,7.09999990463257,7.5,6.59999990463257,81.472
2013,YR2013,Cayman Islands,CYM,..,..,..,1.46174436576276,58369,..,..,..,100
2013,YR2013,Central African Republic,CAF,39.6950078099161,56.420965304782,3.88402688530186,1.95453725845801,4710678,7.59999990463257,7,8.30000019073486,39.5
2013,YR2013,Chad,TCD,48.2183494819786,49.297584899437,2.48406561858444,3.32824339483835,13145788,7,6.69999980926514,7.5,22.227
2013,YR2013,Channel Islands,CHI,14.9206231728528,68.4546497428117,16.6247270843356,0.49586776268242,162138,..,..,..,31.271
2013,YR2013,Chile,CHL,20.7949802436106,68.7848137837905,10.4202059725989,1.07193883582197,17575833,6,5.30000019073486,7,89.175
2013,YR2013,China,CHN,17.1543019300216,73.9564105552921,8.88928751468627,0.49370963351136,1357380000,4.59999990463257,5.19999980926514,3.79999995231628,53.168
2013,YR2013,Colombia,COL,25.0985929874265,68.3965563780583,6.50485063451522,0.97926582949045,47342363,10.5,8.10000038146973,13.8000001907349,75.883
2013,YR2013,Comoros,COM,40.664922169438,56.5343482812889,2.80072954927318,2.42862481550242,751697,6.5,6.40000009536743,7,28.104
2013,YR2013,"Congo, Dem. Rep.",ZAR,46.2960530253934,50.7480676744092,2.95587930019741,3.16693693147678,72552861,8,7.19999980926514,8.89999961853027,41.461
2013,YR2013,"Congo, Rep.",COG,42.5445812721564,53.8182805403504,3.63713818749326,2.49182239864314,4394334,6.5,6.30000019073486,6.80000019073486,64.531
2013,YR2013,Costa Rica,CRI,23.1578139962898,68.5493238722404,8.29286213146985,1.11714312961325,4706433,7.59999990463257,6,10.3999996185303,74.956
2013,YR2013,Cote d'Ivoire,CIV,42.9750042663912,53.989831883377,3.03516385023187,2.4335778191008,21622490,4,4.19999980926514,3.59999990463257,52.766
2013,YR2013,Croatia,HRV,15.1580347592425,66.5787895906283,18.2631756501292,-0.278250585649763,4255700,17.7000007629395,18.3999996185303,16.7999992370605,58.359
2013,YR2013,Cuba,CUB,16.8083974440495,69.8852057710866,13.3063967848639,0.1750617576181,11362505,3.20000004768372,2.90000009536743,3.90000009536743,76.872
2013,YR2013,Curacao,CUW,19.10903152219,66.7843996267109,14.1065688510991,1.13302880236381,153821,..,..,..,89.537
2013,YR2013,Cyprus,CYP,16.9732983431028,70.7406460112188,12.2860556456784,1.08757079913875,1141652,15.8000001907349,16.5,14.8999996185303,67.133
2013,YR2013,Czech Republic,CZE,14.6740628112164,68.3479884999157,16.9779486888679,0.0331699460503076,10514272,6.90000009536743,5.90000009536743,8.19999980926514,73.06
2013,YR2013,Denmark,DNK,17.3153496803954,64.7100355546911,17.9746147649136,0.416901360752097,5614932,7,6.69999980926514,7.30000019073486,87.324
2013,YR2013,Djibouti,DJI,33.2490509557529,62.7311885665904,4.01976047765669,1.33733318312804,864554,..,..,..,77.186
2013,YR2013,Dominica,DMA,..,..,..,0.445404035111464,72005,..,..,..,68.97
2013,YR2013,Dominican Republic,DOM,30.5287174674908,63.0863691043095,6.38491342819971,1.23674755509542,10281408,14.8999996185303,9.89999961853027,22.5,77.082
2013,YR2013,Ecuador,ECU,29.6846841439593,63.9107694170195,6.40454643902119,1.55609791681243,15661312,4.19999980926514,3.20000004768372,5.59999990463257,63.298
2013,YR2013,"Egypt, Arab Rep.",EGY,32.648534149983,62.2403687067541,5.11109714326295,2.25432617430608,87613909,12.6999998092651,7.40000009536743,29.2999992370605,43.025
2013,YR2013,El Salvador,SLV,28.2954143132177,63.8850152816815,7.81957040510085,0.286321131098152,6089644,6.30000019073486,7.80000019073486,4.30000019073486,65.775
2013,YR2013,Equatorial Guinea,GNQ,39.5926642428257,57.5358620568524,2.87147370032193,2.97358762384424,797082,8,7.90000009536743,8.10000038146973,39.603
2013,YR2013,Eritrea,ERI,42.721728150461,54.740194893839,2.53807695569998,2.15538392978466,4998824,7.19999980926514,6.90000009536743,7.5,21.765
2013,YR2013,Estonia,EST,15.5972879815159,66.098632627552,18.3040793909322,-0.355891802625531,1317997,8.80000019073486,9.30000019073486,8.30000019073486,67.721
2013,YR2013,Ethiopia,ETH,42.6964226351862,53.8850044100801,3.41857295473376,2.5352557439287,94558374,5.69999980926514,2.90000009536743,8.80000019073486,18.59
2013,YR2013,Faeroe Islands,FRO,..,..,..,-0.208925969361939,48292,..,..,..,41.53
2013,YR2013,Fiji,FJI,28.8454003295903,65.7130656102816,5.44153406012809,0.721402613963012,880487,8.10000038146973,6.40000009536743,11.3999996185303,52.976
2013,YR2013,Finland,FIN,16.3333951334856,64.6166620912548,19.0499427752596,0.460723772785295,5438972,8.19999980926514,8.80000019073486,7.5,83.952
2013,YR2013,France,FRA,18.5105712033681,63.3063359273901,18.1830928692418,0.434040089300732,65925498,10.3999996185303,10.3999996185303,10.3999996185303,79.055
2013,YR2013,French Polynesia,PYF,22.5909251858971,70.2224984282751,7.18657638582774,1.08657826672362,276766,..,..,..,56.089
2013,YR2013,Gabon,GAB,37.4488214931248,57.3414988690285,5.20967963784673,2.25890775528716,1650351,19.6000003814697,14.3999996185303,25.6000003814697,86.658
2013,YR2013,"Gambia, The",GMB,46.4029250974086,51.2222544804749,2.3748204221165,3.25397395558142,1866878,7,6.59999990463257,7.40000009536743,58.373
2013,YR2013,Georgia,GEO,17.1373692142531,68.6675352037988,14.195095581948,-0.0779692395172614,4487200,14.3000001907349,15.1999998092651,13.1999998092651,53.309
2013,YR2013,Germany,DEU,13.0939021429933,65.9543364155197,20.951761441487,0.272900214681538,80645605,5.30000019073486,5.59999990463257,4.90000009536743,74.89
2013,YR2013,Ghana,GHA,38.9539279889584,57.5905909212934,3.4554810897481,2.39763573344552,26164432,4.59999990463257,4.30000019073486,4.80000019073486,52.735
2013,YR2013,Greece,GRC,14.6327453848717,65.0488405237589,20.3184140913694,-0.589703847034326,11027549,27.2999992370605,24.2999992370605,31.2999992370605,77.343
2013,YR2013,Greenland,GRL,..,..,..,-0.577265864735276,56483,..,..,..,85.633
2013,YR2013,Grenada,GRD,26.7653113255652,66.0799607184,7.15472795603483,0.403069928518479,105902,..,..,..,35.583
2013,YR2013,Guam,GUM,26.2334893805149,65.6815305139867,8.08498010549841,1.411308828934,165121,..,..,..,94.356
2013,YR2013,Guatemala,GTM,37.6074236655853,57.7102890848155,4.68228724959918,2.07372946279872,15690793,2.79999995231628,2,4,50.661
2013,YR2013,Guinea,GIN,42.9209858858593,54.0037239116538,3.07529020248686,2.71427198219394,11948726,1.79999995231628,2,1.5,36.209
2013,YR2013,Guinea-Bissau,GNB,41.1368372888185,55.7224873629732,3.14067534820828,2.44948673689376,1757138,7.09999990463257,6.80000019073486,7.40000009536743,47.747
2013,YR2013,Guyana,GUY,30.7639747553654,64.5191470015098,4.7168782431248,0.345258440834832,761033,11.1000003814697,9.5,14.1999998092651,28.382
2013,YR2013,Haiti,HTI,34.5956941493775,60.8588866012114,4.54541924941107,1.37473661903783,10431249,7,6.09999990463257,8,56.168
2013,YR2013,Honduras,HND,33.3498448667541,62.015293807831,4.63486132541493,1.44919601740131,7849059,4.19999980926514,3.40000009536743,5.69999980926514,53.537
2013,YR2013,"Hong Kong SAR, China",HKG,11.8124409367484,74.1443453523415,14.0432137109101,0.458789963936049,7187500,3.29999995231628,3.79999995231628,2.79999995231628,100
2013,YR2013,Hungary,HUN,14.5359764469913,68.1539748019725,17.3100487510362,-0.27536875707442,9893082,10.1999998092651,10.1000003814697,10.1999998092651,70.306
2013,YR2013,Iceland,ISL,20.5505974332497,66.4801224369376,12.9692801298127,0.945885900369151,323764,5.59999990463257,5.90000009536743,5.19999980926514,93.942
2013,YR2013,India,IND,29.6481255832664,64.970467570728,5.38140684600555,1.25119062623581,1279498874,3.59999990463257,3.5,4,31.994
2013,YR2013,Indonesia,IDN,28.2075796150247,66.7306974319353,5.06172295304005,1.29398294440884,251268276,6.30000019073486,5.59999990463257,7.30000019073486,52.252
2013,YR2013,"Iran, Islamic Rep.",IRN,23.4302918073432,71.6453120831103,4.9243961095465,1.2986599135366,77152445,13.1999998092651,11.6000003814697,20.1000003814697,72.32
2013,YR2013,Iraq,IRQ,41.3449751587384,55.5625257019261,3.09249913933547,3.00615945116853,33781385,16,14.3000001907349,24.1000003814697,69.262
2013,YR2013,Ireland,IRL,21.4831834559518,66.2473296836423,12.2694868604058,0.248160454124521,4598294,13.1000003814697,15,10.8000001907349,62.667
2013,YR2013,Isle of Man,IMY,..,..,..,0.793078976443591,86462,..,..,..,52.084
2013,YR2013,Israel,ISR,27.6666072297923,61.498400192995,10.8349925772127,1.86605289478673,8059500,6.30000019073486,6.19999980926514,6.30000019073486,92.012
2013,YR2013,Italy,ITA,13.8654581092325,64.5465331452692,21.5880087454983,1.1592511168095,60233948,12.1999998092651,11.6000003814697,13.1000003814697,68.686
2013,YR2013,Jamaica,JAM,24.8830328697919,66.3288277324333,8.78813939777478,0.255563077416377,2714734,15,11.3000001907349,19.5,54.336
2013,YR2013,Japan,JPN,13.0331493419961,61.9575243569782,25.0093263010257,-0.174866975766575,127338621,4,4.30000019073486,3.70000004768372,92.491
2013,YR2013,Jordan,JOR,36.10158905987,60.1327238111712,3.76568712895878,2.22266154146171,6460000,12.6000003814697,10.5,22.1000003814697,83.211
2013,YR2013,Kazakhstan,KAZ,25.525929167944,67.710791853772,6.76327897828399,1.44178547815293,17035275,5.19999980926514,4.09999990463257,6.30000019073486,53.361
2013,YR2013,Kenya,KEN,42.2938693376617,54.9865297278062,2.71960093453211,2.66703706290682,43692881,9.19999980926514,8.10000038146973,10.5,24.78
2013,YR2013,Kiribati,KIR,35.3561689268868,61.0333136792453,3.61051739386793,1.78845093347681,108544,..,..,..,44.055
2013,YR2013,"Korea, Dem. Rep.",PRK,21.6915809373545,68.8496349069046,9.45878415574093,0.533043995247782,24895705,4.59999990463257,5.09999990463257,4,60.569
2013,YR2013,"Korea, Rep.",KOR,14.7367644145188,73.0162279768015,12.2470076086797,0.429494122423308,50219669,3.09999990463257,3.29999995231628,2.79999995231628,82.249
2013,YR2013,Kosovo,KSV,..,..,..,0.712996114943488,1818117,..,..,..,..
2013,YR2013,Kuwait,KWT,22.7580071619998,75.3295012450994,1.91249159290077,4.96612225573197,3593689,3.09999990463257,3.29999995231628,2.40000009536743,98.31
2013,YR2013,Kyrgyz Republic,KGZ,30.6688064705106,65.051104321877,4.28008920761237,1.98473866725772,5719600,8,7.19999980926514,9.19999980926514,35.483
